#x   y   Raman_zz
              -3.50003000               -5.19660400               0.00050647
              -3.50003000               -4.19660400               0.00006510
              -3.50003000               -3.19660400               0.00064712
              -3.50003000               -2.19660400               0.00436386
              -3.50003000               -1.19660400               0.00545814
              -3.50003000               -0.19660400               0.00151426
              -3.50003000                0.80339600               0.00000059
              -3.50003000                1.80339600               0.00044805
              -2.50003000               -5.19660400               0.00000642
              -2.50003000               -4.19660400               0.00326469
              -2.50003000               -3.19660400               0.02126371
              -2.50003000               -2.19660400               0.05409205
              -2.50003000               -1.19660400               0.06224999
              -2.50003000               -0.19660400               0.03273710
              -2.50003000                0.80339600               0.00734664
              -2.50003000                1.80339600               0.00030731
              -1.50003000               -5.19660400               0.00122211
              -1.50003000               -4.19660400               0.02385500
              -1.50003000               -3.19660400               0.10411063
              -1.50003000               -2.19660400               0.21409803
              -1.50003000               -1.19660400               0.23968190
              -1.50003000               -0.19660400               0.14889100
              -1.50003000                0.80339600               0.04750079
              -1.50003000                1.80339600               0.00560643
              -0.50003000               -5.19660400               0.00310084
              -0.50003000               -4.19660400               0.05213030
              -0.50003000               -3.19660400               0.21299428
              -0.50003000               -2.19660400               0.41362315
              -0.50003000               -1.19660400               0.46013805
              -0.50003000               -0.19660400               0.29915828
              -0.50003000                0.80339600               0.10345943
              -0.50003000                1.80339600               0.01337713
               0.49997000               -5.19660400               0.00343291
               0.49997000               -4.19660400               0.05813051
               0.49997000               -3.19660400               0.23629563
               0.49997000               -2.19660400               0.45631116
               0.49997000               -1.19660400               0.50739858
               0.49997000               -0.19660400               0.33130231
               0.49997000                0.80339600               0.11548883
               0.49997000                1.80339600               0.01487946
               1.49997000               -5.19660400               0.00206338
               1.49997000               -4.19660400               0.03528624
               1.49997000               -3.19660400               0.14767439
               1.49997000               -2.19660400               0.29396773
               1.49997000               -1.19660400               0.32794946
               1.49997000               -0.19660400               0.20897328
               1.49997000                0.80339600               0.06982881
               1.49997000                1.80339600               0.00883853
               2.49997000               -5.19660400               0.00020610
               2.49997000               -4.19660400               0.00844003
               2.49997000               -3.19660400               0.04363344
               2.49997000               -2.19660400               0.09940076
               2.49997000               -1.19660400               0.11284297
               2.49997000               -0.19660400               0.06458048
               2.49997000                0.80339600               0.01759229
               2.49997000                1.80339600               0.00144482
               3.49997000               -5.19660400               0.00022346
               3.49997000               -4.19660400               0.00010826
               3.49997000               -3.19660400               0.00362201
               3.49997000               -2.19660400               0.01349009
               3.49997000               -1.19660400               0.01615637
               3.49997000               -0.19660400               0.00643972
               3.49997000                0.80339600               0.00056113
               3.49997000                1.80339600               0.00010060
